"Sample.ID","Marker","Mean_LR","Mean_Distance","Site","Interpretation"
"K1","D",0.288195914936489,4.93,"Zaire","Reinfection/Error"
"L1","D",2.44902801732093,0,"Zaire","Recrudescence"
"A","E",1.89759541442332,0,"Zaire","Recrudescence"
"B","E",2.20881130662093e-11,12,"Zaire","Reinfection/Error"
"C","E",1.26000532203647,0,"Zaire","Recrudescence"
"D","E",0.56258694126776,10.22,"Zaire","Reinfection/Error"
"E","E",0.385405430639271,4.93,"Zaire","Reinfection/Error"
"F","E",0.518578876473886,2.35,"Zaire","Reinfection/Error"
"G","E",1.97300264486573,0,"Zaire","Recrudescence"
"H","E",5.26003230412418,0,"Zaire","Recrudescence"
"I","E",0.00258408231222625,3,"Zaire","Reinfection/Error"
"J","E",1.4977945112341,0,"Zaire","Recrudescence"
"K","E",3.4883227151166,0,"Zaire","Recrudescence"
"L","E",0.112162922774747,2.83,"Zaire","Reinfection/Error"
"M","E",2.35904008374551,0,"Zaire","Recrudescence"
"N","E",3.9371589905095,0,"Zaire","Recrudescence"
"O","E",3.77367336276189,0,"Zaire","Recrudescence"
"P","E",2.91695892798456e-19,21,"Zaire","Reinfection/Error"
"Q","E",6.8146472848834,0,"Zaire","Recrudescence"
"R","E",10.3582638806619,0,"Zaire","Recrudescence"
"S","E",1.94223489033584,0,"Zaire","Recrudescence"
"T","E",2.95950483480666,0,"Zaire","Recrudescence"
"U","E",8.28661110635259,0,"Zaire","Recrudescence"
"V","E",3.25577737240982,0,"Zaire","Recrudescence"
"W","E",2.92225761162346e-14,15,"Zaire","Reinfection/Error"
"X","E",1.42603735585818e-09,9,"Zaire","Reinfection/Error"
"Y","E",1.04178750362076e-19,21,"Zaire","Reinfection/Error"
"Z","E",13.8153252658286,0,"Zaire","Recrudescence"
"A1","E",4.14459759433241,0,"Zaire","Recrudescence"
"B1","E",8.28661110635259,0,"Zaire","Recrudescence"
"C1","E",3.29153001101661e-24,27,"Zaire","Reinfection/Error"
"D1","E",0.456325119174678,10.52,"Zaire","Reinfection/Error"
